"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"14:33:20.4238686","EXCEL.EXE","7364","RegQueryKey","HKCU\SOFTWARE\Policies","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"14:33:20.4239023","EXCEL.EXE","7364","RegOpenKey","HKCU\Software\Policies\Microsoft\Office\16.0\Common\Roaming","NAME NOT FOUND","Desired Access: Read/Write"
"14:33:20.4239465","EXCEL.EXE","7364","RegQueryValue","HKCU\SOFTWARE\Microsoft\Office\16.0\Common\Roaming\RoamingLastSyncTimeExcel","SUCCESS","Type: REG_BINARY, Length: 16, Data: E4 07 09 00 03 00 10 00 0D 00 1E 00 35 00 9F 01"
"14:33:20.4259141","EXCEL.EXE","7364","RegOpenKey","HKCU","SUCCESS","Desired Access: Read"
"14:33:20.4259439","EXCEL.EXE","7364","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"14:33:20.4259641","EXCEL.EXE","7364","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\ImmersiveShell","SUCCESS","Desired Access: Query Value"
"14:33:20.4259880","EXCEL.EXE","7364","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\ImmersiveShell\TabletMode","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"14:33:20.4260082","EXCEL.EXE","7364","RegCloseKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\ImmersiveShell","SUCCESS",""
"14:33:20.4260216","EXCEL.EXE","7364","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"14:33:20.4260379","EXCEL.EXE","7364","RegOpenKey","HKCU\Software\Microsoft\Windows\DWM","SUCCESS","Desired Access: Query Value"
"14:33:20.4260555","EXCEL.EXE","7364","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows\DWM\ColorPrevalence","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"14:33:20.4260703","EXCEL.EXE","7364","RegCloseKey","HKCU\SOFTWARE\Microsoft\Windows\DWM","SUCCESS",""
"14:33:20.4260876","EXCEL.EXE","7364","RegCloseKey","HKCU","SUCCESS",""
"14:33:20.4332208","EXCEL.EXE","7364","RegQueryKey","HKCU\SOFTWARE\Microsoft\Office","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"14:33:20.4332473","EXCEL.EXE","7364","RegOpenKey","HKCU\Software\Microsoft\Office\16.0\Common\Toolbars\Excel","NAME NOT FOUND","Desired Access: Read/Write"
"14:33:24.4591557","EXCEL.EXE","7364","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"14:33:24.4591705","EXCEL.EXE","7364","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
