"Frame","Module","Location","Address","Path"
"0","ntoskrnl.exe","SeOpenObjectAuditAlarmWithTransaction + 0x4ad8","0xfffff801148d03c8","C:\Windows\system32\ntoskrnl.exe"
"1","ntoskrnl.exe","SeReleaseSubjectContext + 0x4f4","0xfffff801148db2b4","C:\Windows\system32\ntoskrnl.exe"
"2","ntoskrnl.exe","setjmpex + 0x7cc5","0xfffff801146058b5","C:\Windows\system32\ntoskrnl.exe"
"3","ntdll.dll","NtQueryKey + 0x14","0x7ffbab50c084","C:\Windows\SYSTEM32\ntdll.dll"
"4","AppVIsvSubsystems64.dll","RequestUnhookedFunctionList + 0x106fca","0x7ffb9729995a","C:\Program Files\Microsoft Office\root\Office16\AppVIsvSubsystems64.dll"
"5","AppVIsvSubsystems64.dll","RequestUnhookedFunctionList + 0x10ec81","0x7ffb972a1611","C:\Program Files\Microsoft Office\root\Office16\AppVIsvSubsystems64.dll"
"6","AppVIsvSubsystems64.dll","RequestUnhookedFunctionList + 0x10e997","0x7ffb972a1327","C:\Program Files\Microsoft Office\root\Office16\AppVIsvSubsystems64.dll"
"7","AppVIsvSubsystems64.dll","RequestUnhookedFunctionList + 0xfc59e","0x7ffb9728ef2e","C:\Program Files\Microsoft Office\root\Office16\AppVIsvSubsystems64.dll"
"8","AppVIsvSubsystems64.dll","RequestUnhookedFunctionList + 0x1029c1","0x7ffb97295351","C:\Program Files\Microsoft Office\root\Office16\AppVIsvSubsystems64.dll"
"9","KERNELBASE.dll","MapPredefinedHandleInternal + 0xe54","0x7ffba900d8a4","C:\Windows\System32\KERNELBASE.dll"
"10","KERNELBASE.dll","MapPredefinedHandleInternal + 0xa80","0x7ffba900d4d0","C:\Windows\System32\KERNELBASE.dll"
"11","KERNELBASE.dll","RegOpenKeyExInternalW + 0x141","0x7ffba900c6f1","C:\Windows\System32\KERNELBASE.dll"
"12","KERNELBASE.dll","RegGetValueW + 0x19c","0x7ffba900c08c","C:\Windows\System32\KERNELBASE.dll"
"13","uxtheme.dll","BufferedPaintInit + 0xc69","0x7ffba664d3e9","C:\Windows\system32\uxtheme.dll"
"14","uxtheme.dll","BufferedPaintInit + 0x66b","0x7ffba664cdeb","C:\Windows\system32\uxtheme.dll"
"15","uxtheme.dll","Ordinal132 + 0x2167","0x7ffba663cab7","C:\Windows\system32\uxtheme.dll"
"16","uxtheme.dll","Ordinal49 + 0x224","0x7ffba6636a74","C:\Windows\system32\uxtheme.dll"
"17","uxtheme.dll","Ordinal132 + 0x2e19","0x7ffba663d769","C:\Windows\system32\uxtheme.dll"
"18","uxtheme.dll","GetThemePosition + 0xfe","0x7ffba66534ee","C:\Windows\system32\uxtheme.dll"
"19","USER32.dll","SendMessageA + 0x186","0x7ffbaab298b6","C:\Windows\System32\USER32.dll"
"20","USER32.dll","DefMDIChildProcW + 0xe3","0x7ffbaab4e083","C:\Windows\System32\USER32.dll"
"21","USER32.dll","DefMDIChildProcA + 0x11","0x7ffbaab979a1","C:\Windows\System32\USER32.dll"
"22","VBE7.DLL","VBE7.DLL + 0xc97b3","0x7ffb414697b3","C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL"
"23","VBE7.DLL","VBE7.DLL + 0xaf6c3","0x7ffb4144f6c3","C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL"
"24","USER32.dll","CallWindowProcW + 0x3f8","0x7ffbaab2e858","C:\Windows\System32\USER32.dll"
"25","USER32.dll","SendMessageW + 0x86b","0x7ffbaab2de1b","C:\Windows\System32\USER32.dll"
"26","USER32.dll","SendMessageW + 0xda","0x7ffbaab2d68a","C:\Windows\System32\USER32.dll"
"27","USER32.dll","WindowFromPoint + 0x13be0","0x7ffbaab68760","C:\Windows\System32\USER32.dll"
"28","USER32.dll","DefMDIChildProcW + 0x157","0x7ffbaab4e0f7","C:\Windows\System32\USER32.dll"
"29","USER32.dll","DefMDIChildProcA + 0x11","0x7ffbaab979a1","C:\Windows\System32\USER32.dll"
"30","VBE7.DLL","VBE7.DLL + 0xc97b3","0x7ffb414697b3","C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL"
